"geoRegion","date","pop","sumTotal","per100PersonsTotal","type","version"
"GE",2021-01-31,504128,28050,5.56,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"VD",2021-01-31,805098,43425,5.39,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"VS",2021-01-31,345525,20975,6.07,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"FR",2021-01-31,321783,17325,5.38,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"NE",2021-01-31,176496,12975,7.35,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"JU",2021-01-31,73584,5700,7.75,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"BE",2021-01-31,1039474,63050,6.07,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"SO",2021-01-31,275247,17325,6.29,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"BS",2021-01-31,195844,14550,7.43,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"BL",2021-01-31,289468,21150,7.31,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"AG",2021-01-31,685845,40650,5.93,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"ZH",2021-01-31,1539275,77375,5.03,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"SH",2021-01-31,82348,6000,7.29,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"TG",2021-01-31,279547,16050,5.74,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"AR",2021-01-31,55445,4325,7.8,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"AI",2021-01-31,16128,1375,8.53,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"SG",2021-01-31,510734,29250,5.73,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"GL",2021-01-31,40590,2950,7.27,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"SZ",2021-01-31,160480,10425,6.5,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"ZG",2021-01-31,127642,7575,5.93,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"LU",2021-01-31,413120,25875,6.26,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"NW",2021-01-31,43087,3925,9.11,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"OW",2021-01-31,37930,2850,7.51,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"UR",2021-01-31,36703,3825,10.42,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"GR",2021-01-31,199021,12900,6.48,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"TI",2021-01-31,351491,25975,7.39,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"FL",2021-01-31,38747,1775,4.58,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"CHFL",2021-01-31,8644780,517625,5.99,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
"CH",2021-01-31,8606033,515850,5.99,"COVID19VaccDosesDelivered","2021-01-31_18-00-00"
