"geoRegion","date","pop","sumTotal","per100PersonsTotal","type","version"
"GE",2021-02-07,504128,23011,4.56,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"VD",2021-02-07,805098,39727,4.93,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"VS",2021-02-07,345525,17370,5.03,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"FR",2021-02-07,321783,13920,4.33,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"NE",2021-02-07,176496,8551,4.84,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"JU",2021-02-07,73584,3859,5.24,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"BE",2021-02-07,1039474,35523,3.42,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"SO",2021-02-07,275247,19212,6.98,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"BS",2021-02-07,195844,14595,7.45,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"BL",2021-02-07,289468,15321,5.29,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"AG",2021-02-07,685845,28490,4.15,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"ZH",2021-02-07,1539275,59480,3.86,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"SH",2021-02-07,82348,6513,7.91,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"TG",2021-02-07,279547,12839,4.59,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"AR",2021-02-07,55445,3562,6.42,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"AI",2021-02-07,16128,1438,8.92,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"SG",2021-02-07,510734,26530,5.19,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"GL",2021-02-07,40590,2815,6.94,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"SZ",2021-02-07,160480,6656,4.15,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"ZG",2021-02-07,127642,8294,6.5,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"LU",2021-02-07,413120,21315,5.16,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"NW",2021-02-07,43087,4350,10.1,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"OW",2021-02-07,37930,2156,5.68,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"UR",2021-02-07,36703,2918,7.95,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"GR",2021-02-07,199021,9521,4.78,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"TI",2021-02-07,351491,24899,7.08,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"FL",2021-02-07,38747,833,2.15,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"CHFL",2021-02-07,8644780,413698,4.79,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
"CH",2021-02-07,8606033,412865,4.8,"COVID19VaccDosesAdministered","2021-02-07_23-59-00"
