"geoRegion","date","pop","sumTotal","per100PersonsTotal","type","version"
"GE",2021-02-10,504128,28225,5.6,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"VD",2021-02-10,805098,48090,5.97,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"VS",2021-02-10,345525,19955,5.78,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"FR",2021-02-10,321783,16595,5.16,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"NE",2021-02-10,176496,10455,5.92,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"JU",2021-02-10,73584,4323,5.87,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"BE",2021-02-10,1039474,42920,4.13,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"SO",2021-02-10,275247,20436,7.42,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"BS",2021-02-10,195844,16443,8.4,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"BL",2021-02-10,289468,17696,6.11,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"AG",2021-02-10,685845,32736,4.77,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"ZH",2021-02-10,1539275,69141,4.49,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"SH",2021-02-10,82348,7156,8.69,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"TG",2021-02-10,279547,15188,5.43,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"AR",2021-02-10,55445,3758,6.78,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"AI",2021-02-10,16128,1679,10.41,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"SG",2021-02-10,510734,30627,6,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"GL",2021-02-10,40590,3126,7.7,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"SZ",2021-02-10,160480,8341,5.2,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"ZG",2021-02-10,127642,8666,6.79,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"LU",2021-02-10,413120,24473,5.92,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"NW",2021-02-10,43087,4350,10.1,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"OW",2021-02-10,37930,2066,5.45,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"UR",2021-02-10,36703,3360,9.15,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"GR",2021-02-10,199021,11662,5.86,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"TI",2021-02-10,351491,29938,8.52,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"FL",2021-02-10,38747,1018,2.63,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"CHFL",2021-02-10,8644780,482423,5.58,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
"CH",2021-02-10,8606033,481405,5.59,"COVID19VaccDosesAdministered","2021-02-10_23-59-00"
