"geoRegion","date","pop","sumTotal","per100PersonsTotal","type","version","granularity"
"AG",2021-02-14,685845,5292,0.77,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"AI",2021-02-14,16128,615,3.81,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"AR",2021-02-14,55445,964,1.74,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"BE",2021-02-14,1039474,4566,0.44,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"BL",2021-02-14,289468,7559,2.61,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"BS",2021-02-14,195844,6912,3.53,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"FL",2021-02-14,38747,329,0.85,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"FR",2021-02-14,321783,2954,0.92,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"GE",2021-02-14,504128,6770,1.34,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"GL",2021-02-14,40590,828,2.04,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"GR",2021-02-14,199021,4317,2.17,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"JU",2021-02-14,73584,974,1.32,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"LU",2021-02-14,413120,7123,1.72,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"NE",2021-02-14,176496,877,0.5,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"NW",2021-02-14,43087,1830,4.25,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"OW",2021-02-14,37930,1015,2.68,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"SG",2021-02-14,510734,1864,0.36,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"SH",2021-02-14,82348,1495,1.82,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"SO",2021-02-14,275247,5812,2.11,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"SZ",2021-02-14,160480,2705,1.69,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"TG",2021-02-14,279547,1741,0.62,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"TI",2021-02-14,351491,8984,2.56,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"UR",2021-02-14,36703,1030,2.81,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"VD",2021-02-14,805098,8988,1.12,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"VS",2021-02-14,345525,5715,1.65,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"ZG",2021-02-14,127642,1974,1.55,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"ZH",2021-02-14,1539275,9194,0.6,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"CHFL",2021-02-14,8644780,102427,1.18,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
"CH",2021-02-14,8606033,102098,1.19,"COVID19FullyVaccPersons","2021-02-14_23-59-00","summary"
