"geoRegion","date","pop","sumTotal","per100PersonsTotal","type","version","granularity"
"AG",2021-02-14,685845,5292,0.77,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
"AG",2021-02-15,685845,5292,0.77,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
"AG",2021-02-16,685845,5292,0.77,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
"AG",2021-02-17,685845,8357,1.22,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
"AI",2021-02-14,16128,615,3.81,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
"AI",2021-02-15,16128,615,3.81,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
"AI",2021-02-16,16128,615,3.81,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
"AI",2021-02-17,16128,889,5.51,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
"AR",2021-02-14,55445,964,1.74,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
"AR",2021-02-15,55445,964,1.74,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
"AR",2021-02-16,55445,964,1.74,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
"AR",2021-02-17,55445,1495,2.7,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
"BE",2021-02-14,1039474,4566,0.44,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
"BE",2021-02-15,1039474,4566,0.44,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
"BE",2021-02-16,1039474,4566,0.44,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
"BE",2021-02-17,1039474,9857,0.95,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
"BL",2021-02-14,289468,7559,2.61,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
"BL",2021-02-15,289468,7559,2.61,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
"BL",2021-02-16,289468,7559,2.61,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
"BL",2021-02-17,289468,7898,2.73,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
"BS",2021-02-14,195844,6912,3.53,"COVID19FullyVaccPersons","2021-02-17_23-59-00","summary"
