"date","geoRegion","entries","pop","sumTotal","per100Persons","per100PersonsTotal","type","version","granularity"
2020-12-23,"AI",13,16128,13,0.08,0.08,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-24,"AI",30,16128,43,0.19,0.27,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-25,"AI",0,16128,43,0,0.27,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-26,"AI",0,16128,43,0,0.27,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-27,"AI",0,16128,43,0,0.27,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-28,"AI",0,16128,43,0,0.27,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-29,"AI",0,16128,43,0,0.27,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-30,"AI",0,16128,43,0,0.27,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2020-12-31,"AI",0,16128,43,0,0.27,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-01,"AI",0,16128,43,0,0.27,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-02,"AI",0,16128,43,0,0.27,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-03,"AI",0,16128,43,0,0.27,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-04,"AI",20,16128,63,0.12,0.39,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-05,"AI",187,16128,250,1.16,1.55,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-06,"AI",70,16128,320,0.43,1.98,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-07,"AI",36,16128,356,0.22,2.21,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-08,"AI",39,16128,395,0.24,2.45,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-09,"AI",0,16128,395,0,2.45,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-10,"AI",0,16128,395,0,2.45,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-11,"AI",41,16128,436,0.25,2.7,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-12,"AI",89,16128,525,0.55,3.26,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
2021-01-13,"AI",34,16128,559,0.21,3.47,"COVID19VaccDosesAdministered","2021-02-23_11-12-22","detailed"
