"date","geoRegion","entries","pop","sumTotal","per100Persons","per100PersonsTotal","type","version","granularity"
2020-12-23,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2020-12-24,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2020-12-25,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2020-12-26,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2020-12-27,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2020-12-28,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2020-12-29,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2020-12-30,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2020-12-31,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-01,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-02,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-03,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-04,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-05,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-06,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-07,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-08,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-09,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-10,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-11,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-12,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-13,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-14,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-15,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-16,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-17,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-18,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-19,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-20,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-21,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-22,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-23,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-24,"AI",0,16128,0,0,0,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-25,"AI",15,16128,15,0.09,0.09,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-26,"AI",76,16128,91,0.47,0.56,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-27,"AI",0,16128,91,0,0.56,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-28,"AI",1,16128,92,0.01,0.57,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-29,"AI",0,16128,92,0,0.57,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-30,"AI",0,16128,92,0,0.57,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-01-31,"AI",0,16128,92,0,0.57,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-02-01,"AI",22,16128,114,0.14,0.71,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-02-02,"AI",144,16128,258,0.89,1.6,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-02-03,"AI",52,16128,310,0.32,1.92,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-02-04,"AI",34,16128,344,0.21,2.13,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-02-05,"AI",49,16128,393,0.3,2.44,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-02-06,"AI",0,16128,393,0,2.44,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-02-07,"AI",0,16128,393,0,2.44,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-02-08,"AI",39,16128,432,0.24,2.68,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-02-09,"AI",95,16128,527,0.59,3.27,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-02-10,"AI",28,16128,555,0.17,3.44,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-02-11,"AI",0,16128,555,0,3.44,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-02-12,"AI",30,16128,585,0.19,3.63,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-02-13,"AI",0,16128,585,0,3.63,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-02-14,"AI",0,16128,585,0,3.63,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-02-15,"AI",51,16128,636,0.32,3.94,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-02-16,"AI",130,16128,766,0.81,4.75,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-02-17,"AI",71,16128,837,0.44,5.19,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-02-18,"AI",70,16128,907,0.43,5.62,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
2021-02-19,"AI",59,16128,966,0.37,5.99,"COVID19FullyVaccPersons","2021-02-23_11-12-22","detailed"
